question,answer
What is the return policy?,Our return policy allows returns within 30 days of purchase.
How can I track my order?,You can track your order using the tracking link sent to your email.
How do I reset my password?,"To reset your password, go to the login screen and click on 'Forgot Password.' Follow the instructions to reset your password via email."
What payment methods do you accept?,"We accept various payment methods, including credit/debit cards, PayPal, and Apple Pay."
How do I contact customer support?,"You can contact customer support by clicking on the 'Help' or 'Support' section in the app, or by emailing us at support@example.com."
Can I change my shipping address after placing an order?,"Yes, you can change your shipping address within 24 hours of placing an order by contacting our customer support team."
What should I do if I receive a damaged item?,"If you receive a damaged item, please contact our customer support within 7 days of receiving your order for assistance with a replacement or refund."
How do I apply a discount code?,You can apply a discount code at checkout. Enter the code in the 'Discount Code' field and click 'Apply.'
Is my personal information secure?,"Yes, we take your privacy and security seriously. We use industry-standard encryption to protect your personal information."
How can I delete my account?,"If you wish to delete your account, please go to the account settings and follow the instructions for account deletion. If you need further assistance, contact customer support."
How do I update my profile information?,"To update your profile information, go to the account settings section and edit your details."
Do you offer international shipping?,"Yes, we offer international shipping to many countries. Shipping costs and delivery times vary based on your location."
